高维学堂2025年课程表（动态更新）,,,,,,,,,,,
"备注：
①因不可抗力因素，部分课程的开课时间会根据情况调整，调整时间以通知为准
,,,,,,3月28日,上海,,,,
,,,,,,4月11日,深圳,,,,
,,,,,,5月17日,杭州,,,,
,,,,,,6月20日,深圳,,,,
,,,,,,7月4日,上海,,,,
,,,,,,9月5日,上海,,,,
,,,,,,9月19日,深圳,,,,
,,,,,,10月24日,广州,,,,
组织＆人才,"《做实企业文化》
  
  内化于心，外显于行",欧德张,"文武双全的阿里大政委，既能统一团队思想，又能带队伍打胜战。
  实战经历：
  2006年加入阿里巴巴，曾任阿里巴巴B2B广东大区副总经理和大政委。
  阿里巴巴“启程学院”培训项目创始人，缔造、实施、落地了阿里巴巴铁军文化，打造了一只迄今为止都值得骄傲的阿里铁军队伍。",创始人、CEO、事业部负责人、人力资源团队,"1、重体系：真正打通企业文化的三个层次（信念层、制度层、行为层），帮助学员快速构建内有灵魂，外有制度的企业文化整体框架。
 
 2、可落地：拆解企业文化打造的关键步骤和有效工具，并在课后为学友提供企业文化操作手册和行动计划表，快速降低企业文化的落地难度。
 
 3、强背书：由具备阿里铁军文化落地实施经验的欧德张老师授课，深度剖析阿里成功背后的奥秘，并结合多年的商业咨询实战经验，提炼具备普世性的企业文化打造内功心法，保证“源于阿里，高于阿里”。",4月19-20日,上海,"￥4,920",1次/人,,
,,,,,,6月7-8日,深圳,,,,
,,,,,,8月3-4日,郑州,,,,
,,,,,,9月6-7日,杭州,,,,
,,,,,,11月15-16日,深圳,,,,
组织＆人才,"《教练式领导力》
  
  把每位员工带成干将",季益祥,"行动教练创始人
  17年管理培训经验 9年教练经验",创始人、CEO、高管、HR或培训负责人,"1、有效提升管理者的领导力和影响力；
  2、有效激发下属的潜能和行动的能力；
  3、建立结果导向的教练文化，使管理效能最大化并达成绩效目标；
  4、建立亲和式的教练文化，提升员工的敬业度并有效降低离职率。",1月4-5日,深圳,"￥4,920",1次/人,,
,,,,,,3月29-30日,杭州,,,,
,,,,,,4月12-13日,广州,,,,
,,,,,,5月10-11日,上海,,,,
,,,,,,5月17-18日,深圳,,,,
,,,,,,6月21-22日,杭州,,,,
,,,,,,7月12-13日,厦门,,,,
,,,,,,8月2-3日,深圳,,,,
,,,,,,9月20-21日,广州,,,,
,,,,,,10月25-26日,深圳,,,,
,,,,,,11月29-30日,上海,,,,
,,,,,,12月13-14日,深圳,,,,
组织＆人才,"《财务BP能力提升》
 
 业财融合助力盈利管理",徐薇,永辉超市原财务总监、财务变革负责人，一体化报表提出者，20多年财务管理实战，多家上市公司财务顾问。,"财务BP相关人员、财务经理、财务分析人员、业务主管等拥有开放的心态和较好的沟通技能对商业、运营感兴趣，能从全局出发，专业入手,推动业财的协同创新","1.深入理解BP及其在企业中的价值创造路径

2.基于诸多标杆企业案例，学习基于不同业务场景的财务BP的工具和方法

3.了解财务BP组织的建设: 财务BP文化、财务BP流程、财务BP能力建设财务BP旨在为企业内部各业务单元，提供更及时更便捷的专业财务服务，不断提升内部信息传导效率和决策效率。",1月17-18日,深圳,"￥4,920",1次/人,,
,,,,,,4月26-27日,深圳,,,,
,,,,,,5月8-9日,上海,,,,
,,,,,,7月12-13日,深圳,,,,
,,,,,,12月13-14日,上海,,,,
组织＆人才,"《战略级项目管理》

让战略落地，实现收益",郭嘉,20＋年专注中国本土项目管理实践，500＋项目管理、咨询经验，国家重点工程项目管理专家组成员,"1.属于组织战略级项目管理体系建设的实战课程，帮助组织建立完整、高效的战略级项目治理体系。

2.课程对象为组织的创始人、CE0、高级管理人员、PMO经理","1.系统学习战略级项目管理体系的顶层框架与构建方法，改善组织治理、提升组织力。

2.打通从战略规划到项目执行的路径，构建PSC决策、PMO管控、PMT执行的三层治理结构，让组织战略落地、把事办成，并使成功可复制。

3.具备组织战略与战略级项目管理的全局观，建立企业级的项目全景图，实现以客户为导向的端到端项目流程标准化，全面掌握以收益为导向的项目生命周期治理。

4.减少重复错误，建立并逐步完善项目管理专业人才管理机制和项目知识库。",3月29-30日,深圳,"￥6,920",1次/人,,
,,,,,,5月17-18日,上海,,,,
内控赋能,"《极简项目管理》
  
  让战略资源配置最优化",郭嘉,20＋年专注中国本土项目管理实践，500＋项目管理、咨询经验，国家重点工程项目管理专家组成员,企业创始人、CEO、高管、部门及项目负责人，组团学习效果更佳,"1、系统学习项目管理的理念、总体框架和思维方式，改善运营效率。
 2、全面掌握项目管理从启动到收尾全过程的流程、工具与方法、成果。
 3、具备项目管理全局观，加强项目管控意识，提高项目执行力。
 4、理解项目控制的关键点，分享项目管理的诸多经验教训。",3月1-2日,深圳,"￥5,330",1次/人,,
,,,,,,3月15-16日,杭州,,,,
,,,,,,4月19-20日,上海,,,,
,,,,,,5月24-25日,深圳,,,,
,,,,,,6月7-8日,杭州,,,,
,,,,,,6月14-15日,北京,,,,
,,,,,,7月26-27日,上海,,,,
,,,,,,9月6-7日,深圳,,,,
,,,,,,9月27-28日,上海,,,,
,,,,,,11月1-2日,深圳,,,,
,,,,,,12月6-7日,杭州,,,,
,,,,,,12月20-21日,深圳,,,,
内控赋能,"《做对股权激励》NEW

让员工和企业一起拼，一起赢",罗毅,"大成律师事务所 高级合伙人
比例线股权 创始人/CEO
《动态股权》《穿透新三板》《穿透股权》作者
为100多家企业提供股权规划、股权架构、股权激励等咨询服务
为1000多位律师提供《律师如何做股权咨询服务》的培训支持
既是律师、也是创业者，从专业视角发现问题，从创始人视角解决问题","适合企业
正处于快速发展或转型期的企业
希望通过股权真正达到激励员工、推动业务发展的企业
想做股权激励，但缺少正确指导方法的企业

适合角色
想激励高管、骨干员工，探索新规则的企业创始人
愿意长期与企业共发展的核心高管团队","通过“十定自测表”，快速扫描当前股权激励方案存在的问题，避开股权激励常见的“坑”
理解股权激励的10大挑战，一次做对10大关键决策
看到员工及其家庭真实的具体需求，让股权价值与员工利益深度绑定",3月21日,上海,"￥3,920",0.5次/人,,
,,,,,,4月26日,深圳,,,,
内控赋能,"《公司顶层架构与股权规划》NEW
 
以终为始，科学设计股权架构6大关键节点",杨轶,"杨轶 老师
 10年+企业资本战略辅导全程参与、深度陪跑5家公司成功上市","创始人|核心高管团队|财务总监 董秘等
 
 尤其适合
 考虑引进风险投资、上市融资，或以上市作为里程碑的企业，通过树立资本布局全景，学会规避和应对融资上市常见风险，找到适合企业当前状况的最优资本方案，少走弯路","建立资本布局全景图，找到6个关键节点，一次做对，降低资本决策成本。
 
 了解与制定符合公司长远利益的最优资本方案关键事项及时间表。
 
 盘点股权架构，梳理控股问题，找到最优内外部重组方案(包括持股架构重新搭建、引进投资股权激励、上市准备)。
 
 站在企业生命周期全景视角，从IPO倒推三至五年开始，了解如何做好公司业务、财务内部治理的准备以及上市的启动。",可预约排期,上海,"￥6,920",1次/人,,
内控赋能,"《创始人财务进阶》
  
  打造支撑战略、业务的财务能力",徐薇,永辉超市原财务总监、财务变革负责人，一体化报表提出者，20多年财务管理实战，多家上市公司财务顾问。,企业创始人、高管，财务总监、负责人,"1、了解企业经营与财务数据之间的关系；
  2、设计企业的数字仪表盘，让经营活动透明、真实、可视；
  3、从财务报表升为管理报表，优化企业的管理，提高利润增长。",3月22-23日,杭州,"￥5,330",1次/人,,
,,,,,,6月14-15日,上海,,,,
,,,,,,7月12-13日,深圳,,,,
,,,,,,8月23-24日,杭州,,,,
,,,,,,9月1-2日,郑州,,,,
,,,,,,11月15-16日,上海,,,,
,,,,,,12月13-14日,深圳,,,,
内控赋能,"《财税筹划实战》
 
 基于合规与发展的结构性优化",徐薇,永辉超市原财务总监、财务变革负责人，一体化报表提出者，20多年财务管理实战，多家上市公司财务顾问。,创始人/一号位、财务负责人,"1、了解自家企业合规的现状
 2、掌握财税架构顶层设计的思维、方法和工具
 3、解决财税合规的常见困惑
 4、本课程会有大量的互动!
 徐薇老师会和各位学友把财税合规这个企业问题隐晦莫深的“拨云见日，坦诚相待”，咱们现场把问题“裸”开了",可预约排期,,"￥2,920",0.5次/人,,
内控赋能,"《创始人必修的五个反常识法律问题》NEW

一次性识别关键风险，人不出事，财无损失",范否,"海蜂法务、解法科技创始人
超3000家企业的“首席安全官“",企业创始人,"了解当前决策安全水平
通过12道专为创始人定制的决策偏好题，了解当前企业决策过程可能存在的高风险安全漏洞，系统化提升治理能力。

构建穿越周期的安全创业体系
通过安全创业导航图看清企业安全经营全景，通过30+真实案例的分析推演，掌握企业高发风险应对方法。

25个即学即用的避险模块
全面覆盖防范权力、资金、人事、业务这四大核心板块下的法律风险防范策略，包含适用边界、操作流程和关键方法，帮助你管好“权、钱、人、事”

掌握实用的风险防范策略
通过风险矩阵，直观了解哪些风险可接受、可降低、可转移和要规避，有效把控法律风险、预防经济损失、获取增量收益。",5月9日,上海,2920,0.5次/人,,
特训营,"《高绩效的个人生产力》NEW

高维学堂创始人班，周期一次90 天",LMI教练,"LMI在中国率先引入教练式辅导方式。拥有100多位系统培养、严格认证的领导力教练。

高维学堂作为LMI在中国服务创业企业的唯一战略合作伙伴，将匹配有辅导创业企业经验的资深教练。

LMI中国的教练团队是LMI独自培养的一个专业化团队，大部分成员拥有优良的背景和多年本地企业高管任职经验，具备各项教练技能，是每个LMI学员值得信赖的成长伙伴。","适合有以下挑战的领导者
1、需要分清工作的优先顺序，能够抓住重点专注在高回报活动。
2、需要提高目标管理、有效沟通、授权的能力。
3、需要建立一个自主性的团队，能够吸引、 接纳、用好并激励优秀员工。
4、有实际的工作和带团队经验，仍需要培养教练型领导的基本态度、行为规划和习惯。
5、有专业背景，需要成长为以目标和绩效导向的领导者。","1、建立有效沟通，更好地达成共识并取得项目成功。
2、有效地处理干扰，调整优先顺序，专注于高回报活动。
3、更科学地设定目标和规划时间，做好自我管理。
4、转变固有思维模式，以创新思维来抓住机会、突破瓶颈。
5、掌握有效授权方法，激发团队潜能，承担战略要事。",2月26-5月16日,广州,1000元预定金,不参与划卡,,
,,,,,,3月4-5月27日,北京,,,,
,,,,,,4月1-6月24日,深圳,,,,
,,,,,,6月17-9月9日,深圳,,,,
餐饮课,"《超级门店与流程再造》
 
 构建高效流程，助力业绩增长",余章荣,"余章荣
 原德克士大学执行校长、勺子咨询CEO。经历德克士从“创业初期12家门店到3000家门店”的发展，历任德克士大学执行校长、全国运营优化主管、经营战略委员等职务。
 余老师有着20年连锁管理与人才培育实战经验，为近百个企业提供“流程再造，企业大学，经营策略，组织再造”等相关咨询服务。","餐饮企业创始人/CEO、总经理等高管团队
 餐饮总部关键部门负责人:运营负责人、培训/人力负责人、产品负责人、营销负责人等
 区域督导","门店运营流程再造，要实现两大维度的成果：
 1. 让每一家门店都能实现“顾客好体验”,这样复购率才高，门店生意才好；
 2. 让每一家门店都能实现“运营高效率”,采取流程化管理，这样门店利润才稳定，能赚钱!",3月19-20日,广州,"￥4,920",1次/人,,
,,,,,,5月21-22日,广州,,,,
餐饮课,"《科学分钱- 餐饮版》

—把钱分对，激活团队",卞志汉,"科学分钱学科带头人
《科学分钱》作者
华为激励体系创建贡献者
曾任华为财经变革(与IBM合作)项目负责人
曾任华为财经风险管理体系创建人","餐饮企业创始人
人力资源团队
运营核心团队","1、颠覆分钱思维，精准避开分钱的坑，帮你详细拆解餐饮企业8大落后分钱方法问题本质，避免踩坑，少走弯路。

2、优质案例解析，分钱方法拿走即用，深剖各业态分钱痛点和需求，通过案例分析了解优秀企业分钱解决思路。

3、提供符合餐饮经营场景的分钱解决方案，不讲大而全分钱系统，直接从餐饮实际经营场景切入提供解决办法
1)门店端场景:深剖门店5大薪酬激励设计方法，牵引员工成长，留住核心伙伴;
2)总部端场景:分析总部薪酬、奖金设计方法，让各大部门有钱可分，有力同出，共创共享，持续奋斗;
3)合伙制场景:解析单店到多店合伙机制设计，横纵双向突破人才复制卡点，保证多店高效裂变，",4月22-23日,深圳,"￥6,920",1次/人,,
餐饮课,《特许加盟-法律风控课》,张静,"17年特许经营法律服务经验
北京市安博律师事务所  合伙人
著作：《商业特许经营法律适用》、《特许经营法律问题初探》。
2008年至2009年借调中华人民共和国商务部流通业发展司，负责全国的商业特许经营备案审核工作。
为40个行业上千家企业提供过特许经营备案代理、疑难商标代理、驰名商标认定，特许经营法律体系建立、诉讼、仲裁案件代理等法律服务。","餐饮企业创始人/CEO/高管
法务/合规部门负责人
加盟业务/拓展部门负责人","1. 建立全链路风险防火墙
  - 从“总部-特许人-被特许人-加盟店”全链路切入，覆盖合同、模式、政策管理等具体场景的合规风险，并提供合同、纠纷解决指南等实用工具，帮助企业搭建可落地的法律风控体系。

2. 品牌保护与危机应对双保险
  - 结合近20年特许加盟法律经验，总结建立品牌保护体系四环节一机制方法论，并结合真实案例教授如何快速响应侵权行为，降低品牌声誉损失，提升危机公关能力。

3. 动态风险预警与管理升级
  - 基于最新政策趋势，动态分析特许经营中的“人、店、钱”三大风险维度，帮助企业预判潜在问题并提前制定应对策略，实现风险防控的迭代升级。",可预约排期,,2920元,0.5次/人,,
餐饮课,"《餐饮股权动态合伙制》

从单店到多店，股权助裂变",刘振宇,"比例线股权合伙人/CMO
15年律师行业经验
为50+企业提供股权架构:激励融资等解决方案",适合纯直营模式、合伙模式或直营+加盟模式的餐饮企业创始人及其创始团队来听课,"1.案例+底层方法+工具，让你知其然，更知其所以然。
2.以自己企业股权问题做实战演练，现场找到问题给出答案。
3.拆解不同品类的详细案例，从案例中提取成功和失败方法与经验。",4月2-3日,郑州,"￥4,920",1次/人,,
餐饮课,《全员短视频营销》餐饮训练营,袁嘉骏,"Brandx品牌增长实验室创始人
前时尚集团 战略及运营副总裁
前字节跳动 抖音品牌负责人",创始人、核心高管、运营团队、一线员工,"一套新的流量解决方案，通过全员学习短视频制作的基本技能，增加门店线上流量分发的触点，让「传单」更精准的触达潜在人群

一套适配一线员工的简单易行的短视频生产流程，2天的实操训练营，核心在于讲+练，理论与实践结合，2天后员工就能掌握基本的技巧

一套企业内部落地SOP建议，包含各项制度的参考以及工具包、落地表单等，真正帮助企业能执行、能落地、能持续

启动全员营销，让贴近消费者的一线员工也拍短视频，每个员工都成为连接品牌与顾客的桥梁!",5月15日,杭州,"￥4,920",1次/人,,
餐饮课,"《餐饮人IP打造》

解析餐饮IP构建法则，实现品牌价值最大化",柴园,"柴大官人 柴园
中国餐饮短视频头部IP
14年餐饮战略营销经历
5年餐饮IP打造经验
全网220万+餐饮人粉丝 
全网播放量超过10亿
连续两年，登榜中国餐饮
","想要做IP，但是不知道自身是否符合--观望者

想要打造自身IP但是不知道该怎么做--准备实践者

已经尝试打造自身IP，但是长时间没有什么起色--前期","套垂直餐饮行业的P打造全流程
从如何找定位--如何找产品卖点--如何做内容创作--如何变现的整体路径复现，让你知道注意要点，避免踩坑

一套餐饮IP打造的全能手册
课程中不仅教会打造IP的方法，为防止课堂激动，回去一动不动情况，将具体的方法沉淀成手册，拿回去即可使用

现场解答困惑，让问题在课堂中解决
专设1小时答疑环节，一对一现场剖析学友账号难题现场提供解决方案",2月25日,深圳,"￥2,920",0.5人/次,,
,,,,,,5月16日,杭州,,,,
餐饮课,"《高复购产品矩阵与菜单体系》
 
 打造科学菜单，突破盈利卡点",北北,"北北
 羽生餐饮策划 创始人
 北京大学 市场营销学客座讲师
 十余年专注餐饮策划 
 构建餐饮盈利模型系统
 十余年专注餐饮策划，以长效盈利为目标，曾先后为海底捞、十八汆、小龙坎、吉祥馄饨、蚝太郎、谭家菜、蔡澜点心等众多知名企业进行品牌策划和创意设计。",餐饮创始人/CEO、产品/运营/品牌/供应链负责人,"1. 掌握一套打造盈利菜单的科学系统方法论
 2. 教你从企业经营目标落地到菜单盈利目标
 3. 详细剖析品牌案例菜单模型建立过程，让你带得走能落地",1月7-8日,北京,"￥4,920",1次/人,,
,,,,,,3月5-6日,上海,,,,
餐饮课,《餐饮私域会员增长实战课》 NEW,郭春鹏,"餐饮连锁会员运营专家
20年只专注餐饮行业会员领域,研究上千家餐饮企业会员数据
曾任广州食尚国味餐饮管理(集团)
CIO集团信息总监 兼会员运营总监
曾任点评微生活(北京)科技有限公司
首席运营官
曾任北京多来点信息科技技术有限公司(哗啦啦)
餐饮资深运营专家、全国运营中心总经理","1、主要负责会员板块的负责人和相关团队成员
 
 2、在企业中负责会员运营方面的操盘手","1、拆解餐饮行业中多个优秀品牌案例，分析会员运营具体搭建策略
 2、能够根据企业会员情况，运用方法做企业会员运营健康度体检
 3、掌握一套完整的搭建会员运营体系的方法，能够在企业进行落地
 
 课程优势：目前餐饮行业中唯有的能把会员运营体系搭建讲解的能落地，企业拿回去就能用的主题课程",2月19-20日,上海,"￥4,920",1次/人,,
,,,,,,4月16-17日,广州,,,,
,,,,,,6月11-12日,深圳,,,,
餐饮课,《美团点评--阶梯式营销打法》 NEW,殷海龙,,,,6月17日,郑州,"￥2,920",0.5人/次,,
餐饮课,《科学调优单店模型》 NEW,赵建光,,,,6月24日,上海,"￥2,920",0.5人/次,,
餐饮课,"《特许加盟-商业模式课》
",韩雨廷,"30+年全球特许加盟商业模式设计与优化经验
中国特许经营区域二级授权模式领军者",创始人,"有案例：有丰富的实战案例，国内外知名品牌优质案例解析

有方法：提出特许经营增长飞轮、设计特许经营商业模式的五模式九要素方法论

有体系：从企业战略到商业模式，从组织能力到特许体系，建立特许经营生意成功的全景模型

能落地：有小组实战练习，边学边练现场练习设计特许加盟产品",接收预定,,"￥5,920",1次/人,,
餐饮课,《餐饮线上营销与爆品打造》NEW,李宜蓓,"橙蓓咨询创始人；

创业10年+，深耕食品餐饮品牌增长，助力286+客户500+项目落地；

擅长媒介资源整合及投放策略制定，精通各新媒体平台打法，为客户持续创造“能带来销售转化的创意”。","适学人群：老板、品牌营销部、市场部门

适学企业：想要通过线上渠道(主要是小红书，抖音、视频号、大众点评都会涉及一点，但都不多)快速获取新客流的企业。","1.从线上营销的正确目标制定，到目标落地方法拆解。

2.一套线上营销策划的底层逻辑：选人群、选产品、选平台。

3.一套达人投放项目的全案流程：定组合-筛账号-排节奏-做复盘。

4.针对餐饮品牌各阶段全方位拆解，帮你找到最适合的方法。",2月18日,上海,"￥2,920",0.5次/人,,
,,,,,,4月15日,广州,,,,
,,,,,,6月10日,广州,,,,
餐饮课,《外卖盈利模型重塑》-连锁企业,刘 晴,"独创线上运营赢营三增模型，主张流量、收入、口碑三项同增

为破万店面进行增长赋能培训，为多家知名餐饮企业进行运营咨询赋能

运营平台开发出身，设计并参与开发电商平台售卖及投
放产品规则",创始人、运营团队、外卖团队,"有方法：从人、货、场三大维度建立外卖业务全景，进行战略性布局

有体系：独创外卖三增模型，口碑增收入增、流量增，形成外卖流量闭环

能落地：有小组实战练习，边学边练，现场练习设计外卖盈利模型",3月26-27日,上海,"￥4,920",1人/次,,
,,,,,,5月27-28日,深圳,,,,
餐饮课,《打造竞争领先型餐饮供应链》,赵传书,"赵传书
 供应链管理高级咨询师
 淘宝大学唯一指定供应链讲师
 
 - 曾任马士基集团采购亚太地区负责人
 - 曾任麦肯锡咨询公司中国采购中心负责人
 - 现任传为咨询总经理、高梵电商供应链总经理
 
 餐饮行业部分案例：
 Costa咖啡、左庭右院、陈香贵、翠山餐饮、上海博风餐饮、悦达咖世家餐饮、苏小柳、集美渔泰、外婆家、海底捞、周黑鸭、西贝、杏花楼、老盛昌、小南国等。",建议餐饮企业创始人带供应链团队（需包含供应链经理、采购经理）、研发总监、人力资源总监、财务总监,"1、掌握三大供应链模式，巧妙应对需求量不稳定、频繁测试新品等复杂情况
 2、学会针对不同类别的供应商建立不同关系，形成供应商合作图
 3、打造研发、门店销售、采购供应一体化模型
 4、做好品类管理战略，让每一个采购品类都有明确的定位
 5、清晰供应链组织框架设计原则，掌握供应链部门人才画像特征",3月12-13日,深圳,"￥5,920",1次/人,,
,,,,,,5月13-14日,深圳,,,,
,,,,,,6月25-26日,上海,,,,
